,timestamp,full_time,temp,hum,light,soil,status,slope,eta,health
0,2025-11-21 23:00:12,2025-11-21 23:00:12.551338,0.0,0.0,0,0.0,Waiting...,0.0,-1.0,0.0
1,2025-11-21 23:00:13,2025-11-21 23:00:13.916479,24.53,41.02,2651,0.968,Calibrating,0.0,inf,80.0
2,2025-11-21 23:05:13,2025-11-21 23:05:13.914362,24.6,41.08,2655,0.963,Calibrating,0.0,inf,80.0
3,2025-11-21 23:10:13,2025-11-21 23:10:13.910347,25.29,41.42,2651,0.955,Calibrating,-0.07618,7.58,80.0
4,2025-11-21 23:15:13,2025-11-21 23:15:13.903825,24.12,39.97,2663,0.947,Calibrating,-0.08388,6.92,80.0
5,2025-11-21 23:20:13,2025-11-21 23:20:13.898961,24.01,41.08,2655,0.938,Calibrating,-0.08979,6.44,80.0
6,2025-11-21 23:25:13,2025-11-21 23:25:13.892902,23.92,40.23,2659,0.929,Calibrating,-0.09346,6.09,80.0
7,2025-11-21 23:30:13,2025-11-21 23:30:13.881425,23.43,41.46,2679,0.919,TooWet,-0.09706,5.88,80.0
8,2025-11-21 23:35:13,2025-11-21 23:35:13.875654,23.54,40.42,2669,0.91,TooWet,-0.09937,5.62,80.0
9,2025-11-21 23:40:13,2025-11-21 23:40:13.870811,23.48,41.05,2677,0.901,TooWet,-0.10058,5.5,80.0
10,2025-11-21 23:45:13,2025-11-21 23:45:13.866547,24.74,40.19,2677,0.892,TooWet,-0.10057,5.25,80.0
11,2025-11-21 23:50:13,2025-11-21 23:50:13.859080,24.37,39.2,2669,0.885,TooWet,-0.09969,5.25,80.0
12,2025-11-21 23:55:13,2025-11-21 23:55:13.852256,24.17,39.1,2667,0.877,TooWet,-0.09877,5.25,80.0
13,2025-11-22 00:00:13,2025-11-22 00:00:13.846288,23.86,39.35,2669,0.871,TooWet,-0.0971,5.33,80.0
14,2025-11-22 00:05:13,2025-11-22 00:05:13.843408,24.02,40.87,2629,0.864,TooWet,-0.09617,5.36,80.0
15,2025-11-22 00:10:13,2025-11-22 00:10:13.835504,23.98,39.06,2659,0.857,TooWet,-0.09482,5.32,80.0
