timestamp,temperature,humidity,light,soil,status,slope,eta_hours,health
1298.0,24.29,43.81,2649.0,0.539,OK,0.0,inf,80.0
301302.0,24.02,42.95,2651.0,0.544,OK,0.0,inf,80.0
601306.0,23.58,42.04,2668.0,0.544,OK,0.02987,inf,80.0
901310.0,23.47,40.18,2652.0,0.542,OK,0.0126,inf,80.0
1201314.0,23.24,40.74,2664.0,0.538,OK,-0.00297,82.59,80.0
1501318.0,23.11,41.39,2601.0,0.534,OK,-0.01212,20.1,80.0
1801322.0,23.13,40.91,2621.0,0.532,OK,-0.01243,19.45,80.0
2101326.0,23.33,40.73,2671.0,0.529,OK,-0.01699,13.96,80.0
2401330.0,22.8,40.4,2661.0,0.524,Thirsty,-0.0213,11.08,80.0
2701334.0,22.73,40.6,2687.0,0.517,Thirsty,-0.02835,8.13,80.0
3001338.0,22.86,43.33,2661.0,0.517,Thirsty,-0.02616,8.91,80.0
3301342.0,22.56,40.35,2659.0,0.515,Thirsty,-0.02546,9.0,80.0
3601346.0,22.68,41.75,2658.0,0.514,Thirsty,-0.02477,9.25,80.0
3901350.0,22.79,43.11,2645.0,0.51,Thirsty,-0.0261,8.72,80.0
4201354.0,22.68,42.78,2652.0,0.504,Thirsty,-0.02956,7.51,80.0
4501358.0,22.52,40.76,2649.0,0.5,Thirsty,-0.0311,6.96,80.0
4801362.0,22.56,40.57,2659.0,0.498,Thirsty,-0.03055,7.02,80.0
5101366.0,22.7,41.21,2618.0,0.498,Thirsty,-0.0289,7.42,80.0
5401370.0,22.52,40.44,2683.0,0.498,Thirsty,-0.02745,7.8,80.0
5701374.0,22.53,41.25,2671.0,0.494,Thirsty,-0.02791,7.61,80.0
6001378.0,22.47,40.26,2677.0,0.489,Thirsty,-0.02983,6.93,80.0
6301382.0,22.39,41.42,2607.0,0.483,Thirsty,-0.03201,6.34,80.0
6601386.0,22.47,40.3,2125.0,0.478,VeryDry,-0.03319,5.94,80.0
6901390.0,22.6,40.59,2343.0,0.476,VeryDry,-0.03288,5.93,80.0
7201394.0,22.68,39.92,2637.0,0.473,VeryDry,-0.03283,5.84,80.0
7501398.0,22.49,40.5,2620.0,0.472,Thirsty,-0.03186,6.04,80.0
7801402.0,22.55,40.0,2619.0,0.471,Thirsty,-0.03129,6.09,80.0
8101406.0,22.05,40.64,49.0,0.474,Dark,-0.02887,6.78,80.0
8401410.0,21.53,41.43,56.0,0.471,Dark,-0.02882,6.82,80.0
8701414.0,21.16,42.0,57.0,0.47,Dark,-0.02842,6.95,80.0
9001418.0,21.02,42.09,58.0,0.467,Dark,-0.02855,6.85,80.0
9301422.0,20.92,42.32,59.0,0.465,Dark,-0.02842,6.84,80.0
9601426.0,20.71,42.07,59.0,0.465,Dark,-0.0275,7.09,80.0
9901430.0,20.56,42.17,61.0,0.465,Dark,-0.02665,7.35,80.0
10201434.0,20.47,42.22,62.0,0.465,Dark,-0.02602,7.53,80.0
10501438.0,20.41,42.35,61.0,0.466,Dark,-0.0249,7.92,80.0
10801442.0,20.29,42.44,64.0,0.467,Dark,-0.02375,8.38,80.0
11101446.0,20.26,42.23,63.0,0.468,Dark,-0.02301,8.65,80.0
11401450.0,20.05,42.47,68.0,0.471,Dark,-0.02142,9.48,80.0
11701454.0,20.05,42.83,69.0,0.474,Dark,-0.02003,10.28,80.0
12001458.0,19.86,42.61,71.0,0.474,Dark,-0.01931,10.73,80.0
12301462.0,19.89,42.65,71.0,0.475,Dark,-0.0186,11.18,80.0
12601466.0,19.78,43.33,70.0,0.476,Dark,-0.01784,11.78,80.0
12901470.0,19.75,43.05,73.0,0.478,Dark,-0.01706,12.38,80.0
13201474.0,19.65,42.87,71.0,0.479,Dark,-0.01619,13.16,80.0
13501478.0,19.53,43.1,71.0,0.48,Dark,-0.01571,13.63,80.0
13801482.0,19.53,42.87,71.0,0.479,Dark,-0.01557,13.68,80.0
14101486.0,19.53,42.76,71.0,0.477,Dark,-0.01566,13.51,80.0
14401490.0,19.46,42.8,72.0,0.476,Dark,-0.01577,13.33,80.0
14701494.0,19.46,42.78,73.0,0.475,Dark,-0.01557,13.46,80.0
15001498.0,19.3,42.95,72.0,0.475,Dark,-0.01538,13.65,80.0
15301502.0,19.26,42.95,74.0,0.474,Dark,-0.01531,13.67,80.0
15601506.0,19.34,42.67,72.0,0.475,Dark,-0.01473,14.24,80.0
15901510.0,19.13,43.0,74.0,0.476,Dark,-0.01415,15.0,80.0
16201514.0,19.11,42.91,71.0,0.478,Dark,-0.01346,15.9,80.0
16501518.0,19.19,42.84,74.0,0.48,Dark,-0.0127,16.99,80.0
16801522.0,19.04,43.02,71.0,0.481,Dark,-0.01225,17.76,80.0
17101526.0,19.07,42.73,73.0,0.484,Dark,-0.01157,18.94,80.0
17401530.0,19.03,42.63,75.0,0.484,Dark,-0.01136,19.31,80.0
17701534.0,18.95,42.95,73.0,0.487,Dark,-0.01059,21.02,80.0
18001538.0,18.95,42.78,75.0,0.489,Dark,-0.00996,22.55,80.0
18301542.0,19.0,42.64,76.0,0.494,Dark,-0.0088,26.02,80.0
18601546.0,18.89,42.72,75.0,0.496,Dark,-0.00833,27.77,80.0
18901550.0,18.96,42.61,75.0,0.497,Dark,-0.00802,28.89,80.0
19201554.0,18.85,42.66,77.0,0.499,Dark,-0.00743,31.56,80.0
19501558.0,18.79,42.67,75.0,0.498,Dark,-0.00744,31.47,80.0
19801562.0,18.82,42.59,75.0,0.498,Dark,-0.00741,31.52,80.0
20101566.0,18.8,42.75,75.0,0.497,Dark,-0.00738,31.63,80.0
20401570.0,18.72,42.88,76.0,0.498,Dark,-0.00724,32.33,80.0
20701574.0,18.76,42.73,77.0,0.498,Dark,-0.007,33.46,80.0
21001578.0,18.65,42.55,76.0,0.501,Dark,-0.00649,36.52,80.0
21301582.0,18.7,42.65,75.0,0.5,Dark,-0.00649,36.39,80.0
21601586.0,18.68,42.55,74.0,0.5,Dark,-0.00636,37.15,80.0
21901590.0,18.55,42.82,76.0,0.502,Dark,-0.00701,34.03,80.0
22201594.0,18.56,42.91,77.0,0.501,Dark,-0.00716,33.17,80.0
22501598.0,18.52,42.83,76.0,0.499,Dark,-0.00707,33.44,80.0
22801602.0,18.53,42.8,75.0,0.498,Dark,-0.00662,35.49,80.0
23101606.0,18.55,42.83,77.0,0.498,Dark,-0.00599,39.19,80.0
23401610.0,18.52,42.74,76.0,0.497,Dark,-0.00585,40.05,80.0
23701614.0,18.55,42.74,77.0,0.497,Dark,-0.00522,44.85,80.0
24001618.0,18.51,42.77,77.0,0.497,Dark,-0.00453,51.73,80.0
24301622.0,18.47,42.65,75.0,0.499,Dark,-0.0031,76.09,80.0
24601626.0,18.45,42.69,75.0,0.501,Dark,-0.00264,90.38,80.0
24901630.0,18.49,42.62,76.0,0.501,Dark,-0.00236,100.85,80.0
25201634.0,18.48,42.75,79.0,0.502,Dark,-0.00193,inf,80.0
